Nom de la commune,Population municipale,proportion de vote pour le parti A, Latitude , Longitude 
Ménerval,185,0.461,49.566667,1.666667
Ménonval,208,0.576,49.766667,1.5
Mentheville,288,0.563,49.7,0.416667
Mésangueville,174,0.324,49.55,1.566667
Mesnières-en-Bray,1029,0.537,49.766667,1.383333
Le Mesnil-Durdent,18,0.695,49.816667,0.766667
Le Mesnil-Esnard,7917,0.481,49.416667,1.15
Mesnil-Follemprise,133,0.440,49.783333,1.3
Le Mesnil-Lieubray,102,0.416,49.5,1.516667
Mesnil-Mauger,242,0.600,49.666667,1.516667
Mesnil-Panneville,687,0.610,49.583333,0.9
Mesnil-Raoul,939,0.706,49.4,1.266667
Le Mesnil-Réaume,741,0.610,49.966667,1.45
Le Mesnil-sous-Jumièges,638,0.649,49.416667,0.866667
Meulers,602,0.299,49.85,1.216667
Millebosc,257,0.727,49.966667,1.5
Mirville,330,0.576,49.616667,0.45
Monchaux-Soreng,649,0.583,49.95,1.583333
Monchy-sur-Eu,590,0.614,50,1.45
Mont-Cauvaire,637,0.620,49.566667,1.116667
Montérolier,588,0.441,49.633333,1.35
Montigny,1109,0.709,49.466667,1
Montivilliers,16131,0.449,49.55,0.2
Montmain,1401,0.494,49.416667,1.25
Montreuil-en-Caux,532,0.539,49.683333,1.15
Mont-Saint-Aignan,19326,0.522,49.466667,1.083333
Morgny-la-Pommeraye,996,0.539,49.516667,1.25
Mortemer,86,0.576,49.75,1.55
Morville-sur-Andelle,323,0.412,49.483333,1.433333
Motteville,791,0.552,49.633333,0.85
Moulineaux,963,0.515,49.35,0.966667
Muchedent,129,0.595,49.766667,1.183333
Nesle-Hodeng,349,0.675,49.7,1.5
Nesle-Normandeuse,591,0.549,49.916667,1.666667
Neufchâtel-en-Bray,4761,0.633,49.733333,1.45
Neuville-Ferrières,591,0.378,49.716667,1.466667
Néville,1238,0.406,49.816667,0.716667
Nointot,1375,0.466,49.6,0.483333
Nolléval,445,0.494,49.5,1.483333
Normanville,686,0.406,49.7,0.6
Norville,923,0.571,49.466667,0.633333
Notre-Dame-d'Aliermont,735,0.285,49.85,1.283333
Notre-Dame-de-Bliquetuit,742,0.553,49.5,0.766667
Notre-Dame-de-Bondeville,7083,0.570,49.483333,1.05
